Epoch,Loss,Accuracy
1,1.4487073421478271,0.5849609375
2,1.2124879360198975,0.640625
3,1.078672170639038,0.669921875
4,1.0276542901992798,0.6904296875
5,0.9538335800170898,0.7041015625
6,0.9047901034355164,0.7197265625
7,0.8705028891563416,0.7255859375
8,0.8375414609909058,0.7353515625
9,0.7843029499053955,0.7529296875
10,0.7550910115242004,0.7587890625
11,0.7529274225234985,0.767578125
12,0.711767852306366,0.7646484375
13,0.6895484924316406,0.77734375
14,0.6583235859870911,0.794921875
15,0.644576370716095,0.7890625
16,0.604891836643219,0.80859375
17,0.5928269624710083,0.8193359375
18,0.6280268430709839,0.80078125
19,0.5661910772323608,0.8193359375
20,0.5516325831413269,0.8134765625
21,0.5209032297134399,0.8271484375
22,0.5582122206687927,0.80859375
23,0.5632946491241455,0.8154296875
24,0.533270001411438,0.8349609375
25,0.4640154540538788,0.8486328125
26,0.520209014415741,0.84375
27,0.5333990454673767,0.8134765625
28,0.5109180212020874,0.828125
29,0.4988722801208496,0.8359375
30,0.4711623191833496,0.849609375
31,0.4745999574661255,0.845703125
32,0.4894128441810608,0.8408203125
33,0.47136127948760986,0.841796875
34,0.4573269486427307,0.849609375
35,0.4507836103439331,0.8466796875
36,0.45817825198173523,0.8525390625
37,0.43121469020843506,0.85546875
38,0.4656757414340973,0.8447265625
39,0.4592905640602112,0.8525390625
40,0.433577299118042,0.8515625
41,0.4728528559207916,0.841796875
42,0.43313443660736084,0.849609375
43,0.4249894618988037,0.87109375
44,0.4409016966819763,0.8505859375
45,0.4262000620365143,0.86328125
46,0.4094562530517578,0.8671875
47,0.41514766216278076,0.85546875
48,0.4325707256793976,0.865234375
49,0.3961586356163025,0.869140625
50,0.42641836404800415,0.859375
51,0.45750439167022705,0.859375
52,0.4201100766658783,0.8525390625
53,0.40319380164146423,0.8623046875
54,0.4248443841934204,0.8603515625
55,0.4547111392021179,0.8623046875
56,0.38066887855529785,0.87109375
57,0.4713835120201111,0.845703125
58,0.40232419967651367,0.8662109375
59,0.4426622688770294,0.841796875
60,0.41885632276535034,0.8662109375
61,0.4528310298919678,0.8583984375
62,0.4176979064941406,0.8525390625
63,0.4513852000236511,0.853515625
64,0.410749614238739,0.8798828125
65,0.4452533721923828,0.8681640625
66,0.39742445945739746,0.8662109375
67,0.41372495889663696,0.869140625
68,0.4065456986427307,0.8662109375
69,0.40852171182632446,0.861328125
70,0.4561144709587097,0.841796875
