Epoch,Loss,Accuracy
1,2.622974395751953,0.294921875
2,1.8958568572998047,0.474609375
3,1.5759620666503906,0.5478515625
4,1.4223380088806152,0.5673828125
5,1.3142361640930176,0.607421875
6,1.2334604263305664,0.61328125
7,1.171021580696106,0.623046875
8,1.1015357971191406,0.65234375
9,1.0484416484832764,0.6650390625
10,1.0331010818481445,0.685546875
11,0.9466176629066467,0.7119140625
12,0.9200894236564636,0.70703125
13,0.8930880427360535,0.708984375
14,0.8771263957023621,0.7158203125
15,0.8318144083023071,0.7236328125
16,0.8157505989074707,0.7421875
17,0.7943180203437805,0.740234375
18,0.7543195486068726,0.74609375
19,0.7504986524581909,0.744140625
20,0.734776496887207,0.7646484375
21,0.7156763076782227,0.7783203125
22,0.6960667371749878,0.7724609375
23,0.6898237466812134,0.7763671875
24,0.653758704662323,0.798828125
25,0.6599812507629395,0.7841796875
26,0.6444478034973145,0.7978515625
27,0.5839080214500427,0.810546875
28,0.5986605882644653,0.8115234375
29,0.571758508682251,0.8125
30,0.5698221325874329,0.8203125
31,0.5619416236877441,0.8154296875
32,0.5454861521720886,0.8115234375
33,0.5497167110443115,0.8232421875
34,0.5576512813568115,0.80078125
35,0.5320255160331726,0.81640625
36,0.4807596802711487,0.8505859375
37,0.5046721696853638,0.8427734375
38,0.5007040500640869,0.8330078125
39,0.5034741163253784,0.828125
40,0.4801405370235443,0.833984375
41,0.4699428081512451,0.84375
42,0.4342796802520752,0.86328125
43,0.4254021942615509,0.8603515625
44,0.42717504501342773,0.8603515625
45,0.45373380184173584,0.8466796875
46,0.4136478304862976,0.8681640625
47,0.41818344593048096,0.85546875
48,0.40749502182006836,0.8701171875
49,0.40310201048851013,0.859375
50,0.41395214200019836,0.859375
51,0.3648020625114441,0.87890625
52,0.40528497099876404,0.8583984375
53,0.3721050024032593,0.8798828125
54,0.36345207691192627,0.88671875
55,0.3384508490562439,0.8935546875
56,0.35512036085128784,0.8759765625
57,0.3762016296386719,0.8759765625
58,0.31245607137680054,0.8994140625
59,0.3546640872955322,0.876953125
60,0.3589537441730499,0.88671875
61,0.35358303785324097,0.876953125
62,0.345193088054657,0.884765625
63,0.38791775703430176,0.873046875
64,0.3393709361553192,0.890625
65,0.3320874571800232,0.89453125
66,0.30885034799575806,0.892578125
67,0.31315892934799194,0.89453125
68,0.29924994707107544,0.90234375
69,0.32902079820632935,0.8916015625
70,0.2975068688392639,0.904296875
