Epoch,Loss,Accuracy
1,2.740496873855591,0.240234375
2,1.986980676651001,0.44921875
3,1.6796820163726807,0.525390625
4,1.4696168899536133,0.578125
5,1.343712568283081,0.591796875
6,1.2682459354400635,0.607421875
7,1.1928131580352783,0.626953125
8,1.110505223274231,0.650390625
9,1.0580863952636719,0.6630859375
10,1.0163257122039795,0.6845703125
11,0.9693912267684937,0.6962890625
12,0.9296796917915344,0.705078125
13,0.9248619675636292,0.68359375
14,0.8990128040313721,0.7001953125
15,0.8702883720397949,0.7099609375
16,0.8157239556312561,0.71875
17,0.8238140344619751,0.7255859375
18,0.7864159941673279,0.7451171875
19,0.7746634483337402,0.7548828125
20,0.7776570320129395,0.736328125
21,0.7243691682815552,0.7509765625
22,0.7259694933891296,0.7568359375
23,0.7085819244384766,0.7587890625
24,0.7007064819335938,0.767578125
25,0.6871965527534485,0.7685546875
26,0.6475347280502319,0.7919921875
27,0.654736340045929,0.779296875
28,0.6389987468719482,0.78125
29,0.6192729473114014,0.7958984375
30,0.5991159677505493,0.8115234375
31,0.5865201354026794,0.802734375
32,0.584342360496521,0.8203125
33,0.5575701594352722,0.814453125
34,0.5795859694480896,0.7939453125
35,0.5569392442703247,0.8271484375
36,0.5210275650024414,0.8310546875
37,0.5487910509109497,0.82421875
38,0.5418466329574585,0.8271484375
39,0.5345402956008911,0.8359375
40,0.5178413987159729,0.8271484375
41,0.5122919678688049,0.84375
42,0.48206430673599243,0.8388671875
43,0.4864896535873413,0.8359375
44,0.45653873682022095,0.845703125
45,0.4666973054409027,0.849609375
46,0.43785619735717773,0.853515625
47,0.45463529229164124,0.849609375
48,0.41854894161224365,0.8564453125
49,0.4436267614364624,0.85546875
50,0.4217994511127472,0.857421875
51,0.4192604720592499,0.8544921875
52,0.3877640664577484,0.87109375
53,0.4143942892551422,0.859375
54,0.3909324109554291,0.8740234375
55,0.3628374934196472,0.8828125
56,0.3610664904117584,0.87890625
57,0.39622825384140015,0.8603515625
58,0.38917219638824463,0.873046875
59,0.3738582134246826,0.876953125
60,0.37189796566963196,0.8740234375
61,0.3738325238227844,0.87890625
62,0.3906458914279938,0.876953125
63,0.37274426221847534,0.884765625
64,0.36015456914901733,0.873046875
65,0.3759363293647766,0.876953125
66,0.3583589494228363,0.890625
67,0.35293030738830566,0.880859375
68,0.3474232256412506,0.8837890625
69,0.3603892922401428,0.8828125
70,0.3554058074951172,0.884765625
