Epoch,Loss,Accuracy
1,1.9446338415145874,0.486328125
2,1.4897961616516113,0.578125
3,1.2389135360717773,0.6435546875
4,1.1138134002685547,0.6572265625
5,1.0397225618362427,0.6923828125
6,1.0221807956695557,0.689453125
7,0.9530631303787231,0.6982421875
8,0.9480265378952026,0.6923828125
9,0.8758083581924438,0.7197265625
10,0.8449729681015015,0.720703125
11,0.8233113884925842,0.7431640625
12,0.8141393661499023,0.7470703125
13,0.7933067679405212,0.7373046875
14,0.759893000125885,0.75
15,0.7379736304283142,0.76171875
16,0.7248296737670898,0.7685546875
17,0.7105379104614258,0.7666015625
18,0.7098878622055054,0.779296875
19,0.7092248797416687,0.763671875
20,0.7167277336120605,0.7724609375
21,0.701327919960022,0.7626953125
22,0.6751479506492615,0.7724609375
23,0.6674513220787048,0.7978515625
24,0.6549650430679321,0.783203125
25,0.6122500896453857,0.8037109375
26,0.6326872110366821,0.7978515625
27,0.6367953419685364,0.7900390625
28,0.5721147656440735,0.8193359375
29,0.6340078711509705,0.78515625
30,0.6301858425140381,0.7880859375
31,0.5705806612968445,0.80859375
32,0.5646953582763672,0.8056640625
33,0.5780205130577087,0.802734375
34,0.5875756740570068,0.8076171875
35,0.5926738381385803,0.810546875
36,0.6332594156265259,0.7919921875
37,0.5689034461975098,0.8134765625
38,0.5539535284042358,0.8115234375
39,0.5566798448562622,0.8134765625
40,0.5366966724395752,0.83203125
41,0.5673416256904602,0.8046875
42,0.5434889793395996,0.8251953125
43,0.5754274725914001,0.810546875
44,0.5620779991149902,0.8193359375
45,0.5286728143692017,0.837890625
46,0.5552577376365662,0.8173828125
47,0.5301513075828552,0.8232421875
48,0.5715683102607727,0.818359375
49,0.5226016044616699,0.8232421875
50,0.5352179408073425,0.818359375
51,0.5400892496109009,0.822265625
52,0.5562697649002075,0.8173828125
53,0.5420632362365723,0.8193359375
54,0.5069781541824341,0.8310546875
55,0.5249220132827759,0.8251953125
56,0.5457152128219604,0.8154296875
57,0.5140094757080078,0.8212890625
58,0.49167102575302124,0.8466796875
59,0.5309734344482422,0.822265625
60,0.5345351696014404,0.822265625
61,0.5212883949279785,0.828125
62,0.531585693359375,0.8251953125
63,0.49648725986480713,0.830078125
64,0.5612205862998962,0.8056640625
65,0.5396689176559448,0.8359375
66,0.520566463470459,0.8232421875
67,0.5355272889137268,0.82421875
68,0.5112642049789429,0.8330078125
69,0.4749763309955597,0.841796875
70,0.5130988955497742,0.8388671875
