Epoch,Loss,Accuracy
1,1.9059184789657593,0.478515625
2,1.4947009086608887,0.5849609375
3,1.3354263305664062,0.623046875
4,1.207826852798462,0.640625
5,1.1541588306427002,0.6513671875
6,1.0902583599090576,0.689453125
7,1.096346139907837,0.6728515625
8,1.033642292022705,0.693359375
9,0.9874021410942078,0.6943359375
10,0.9144304990768433,0.7294921875
11,0.9179399609565735,0.720703125
12,0.9113137722015381,0.7177734375
13,0.8923193216323853,0.7060546875
14,0.8476284146308899,0.7275390625
15,0.8481853008270264,0.7373046875
16,0.8429096341133118,0.7490234375
17,0.7807224988937378,0.7578125
18,0.8032126426696777,0.744140625
19,0.795893669128418,0.7373046875
20,0.7649327516555786,0.7626953125
21,0.7623854875564575,0.763671875
22,0.7535390853881836,0.763671875
23,0.760153591632843,0.7705078125
24,0.7756980657577515,0.7626953125
25,0.7346816658973694,0.7646484375
26,0.7615509033203125,0.7744140625
27,0.6730825901031494,0.7939453125
28,0.6974526047706604,0.7861328125
29,0.7058272361755371,0.7734375
30,0.691197395324707,0.787109375
31,0.6959171295166016,0.771484375
32,0.679940938949585,0.798828125
33,0.690940260887146,0.78515625
34,0.665420413017273,0.783203125
35,0.683718204498291,0.779296875
36,0.6905288696289062,0.779296875
37,0.699595034122467,0.775390625
38,0.6618412137031555,0.791015625
39,0.6680177450180054,0.7939453125
40,0.6559740304946899,0.783203125
41,0.6588122844696045,0.7998046875
42,0.6359505653381348,0.796875
43,0.6195118427276611,0.794921875
44,0.6150082349777222,0.8154296875
45,0.6440469026565552,0.796875
46,0.6363555788993835,0.8037109375
47,0.6177452206611633,0.8046875
48,0.645358681678772,0.7958984375
49,0.656694769859314,0.7978515625
50,0.5961146950721741,0.80859375
51,0.6094610691070557,0.8056640625
52,0.6147984266281128,0.798828125
53,0.6175122857093811,0.8046875
54,0.5918033719062805,0.802734375
55,0.6049079895019531,0.7939453125
56,0.6219733953475952,0.7900390625
57,0.6323420405387878,0.7998046875
58,0.6001300811767578,0.8115234375
59,0.6039706468582153,0.8115234375
60,0.609614908695221,0.8056640625
61,0.6016978025436401,0.802734375
62,0.6093062162399292,0.8076171875
63,0.6035343408584595,0.8056640625
64,0.6279277801513672,0.802734375
65,0.5854383707046509,0.814453125
66,0.593124508857727,0.8134765625
67,0.5840502977371216,0.810546875
68,0.6014485359191895,0.8115234375
69,0.6051667928695679,0.8115234375
70,0.5965010523796082,0.8154296875
